Voltage U1	Current IA	Temperature Tact	Voltage U2	Voltage UH
U1/V	IA/nA	Tact/°C	U2/V	UH/V

11.74	0.32	195	2.0	6.3
11.77	0.33	195	2.0	6.3
11.79	0.33	195	2.0	6.3
11.81	0.33	195	2.0	6.3
11.84	0.35	195	2.0	6.3
11.86	0.35	195	2.0	6.3
11.89	0.34	195	2.0	6.3
11.91	0.35	195	2.0	6.3
11.94	0.34	195	2.0	6.3
11.96	0.34	195	2.0	6.3
11.99	0.34	195	2.0	6.3
12.01	0.32	195	2.0	6.3
12.03	0.31	195	2.0	6.3
12.06	0.31	195	2.0	6.3
12.08	0.30	195	2.0	6.3
12.11	0.31	195	2.0	6.3
12.13	0.31	195	2.0	6.3
12.16	0.33	195	2.0	6.3
12.18	0.33	195	2.0	6.3
12.21	0.33	195	2.0	6.3
12.23	0.33	195	2.0	6.3
12.25	0.34	195	2.0	6.3
12.28	0.33	195	2.0	6.3
12.30	0.34	195	2.0	6.3
12.33	0.34	195	2.0	6.3
12.35	0.34	195	2.0	6.3
12.38	0.32	195	2.0	6.3
12.40	0.31	195	2.0	6.3
12.42	0.30	195	2.0	6.3
12.45	0.29	195	2.0	6.3
12.47	0.28	195	2.0	6.3
12.50	0.27	195	2.0	6.3
12.52	0.26	195	2.0	6.3
12.55	0.26	195	2.0	6.3
12.57	0.25	195	2.0	6.3
12.60	0.25	195	2.0	6.3
12.62	0.25	195	2.0	6.3
12.64	0.26	195	2.0	6.3
12.67	0.25	195	2.0	6.3
12.69	0.24	195	2.0	6.3
12.72	0.24	195	2.0	6.3
12.74	0.25	195	2.0	6.3
12.77	0.25	195	2.0	6.3
12.79	0.24	195	2.0	6.3
12.82	0.24	195	2.0	6.3
12.84	0.23	195	2.0	6.3
12.86	0.20	195	2.0	6.3
12.89	0.18	195	2.0	6.3
12.91	0.19	195	2.0	6.3
12.94	0.18	195	2.0	6.3
12.96	0.18	195	2.0	6.3
12.99	0.18	195	2.0	6.3
13.01	0.15	195	2.0	6.3
13.04	0.14	195	2.0	6.3
13.06	0.14	195	2.0	6.3
13.08	0.13	195	2.0	6.3
13.11	0.12	195	2.0	6.3
13.13	0.14	195	2.0	6.3
13.16	0.14	195	2.0	6.3
13.18	0.14	195	2.0	6.3
13.21	0.13	195	2.0	6.3
13.23	0.14	195	2.0	6.3
13.26	0.14	195	2.0	6.3
13.28	0.13	195	2.0	6.3
13.30	0.14	195	2.0	6.3
13.33	0.13	195	2.0	6.3
13.35	0.10	195	2.0	6.3
13.38	0.08	195	2.0	6.3
13.40	0.08	195	2.0	6.3
13.43	0.06	195	2.0	6.3
13.45	0.06	195	2.0	6.3
13.47	0.06	195	2.0	6.3
13.50	0.05	195	2.0	6.3
13.52	0.05	195	2.0	6.3
13.55	0.05	195	2.0	6.3
13.57	0.05	195	2.0	6.3
13.60	0.04	195	2.0	6.3
13.62	0.05	195	2.0	6.3
13.65	0.06	195	2.0	6.3
13.67	0.05	195	2.0	6.3
